ID,LON,LAT,NAME,CLASS,STATE,ANNUAL,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
36769,-36.866,-93.078,Minador do Negr�o,Sede Municipal,ALAGOAS,5405,6084,5924,5917,5264,4374,3951,4085,4728,5631,6000,6480,6416
35638,-372.508,-9.604,Monteir�polis,Sede Municipal,ALAGOAS,5360,6104,5882,5920,5223,4355,3979,4124,4680,5469,5850,6462,6268
36778,-359.431,-93.073,Murici,Sede Municipal,ALAGOAS,5188,5814,5823,5826,5076,4182,3847,3905,4566,5354,5643,6124,6090
38296,-356.643,-89.423,Novo Lino,Sede Municipal,ALAGOAS,5082,5661,5635,5639,4984,4197,3880,3912,4533,5267,5513,5928,5837
36009,-372.958,-95.335,Olho d'�gua das Flores,Sede Municipal,ALAGOAS,5415,6141,5938,6010,5270,4375,3992,4108,4728,5572,5955,6542,6347
36003,-37.827,-95.037,Olho d'�gua do Casado,Sede Municipal,ALAGOAS,5484,6316,6084,5978,5329,4468,4079,4194,4844,5684,5958,6486,6385
33855,-368.133,-100.571,Olho d'�gua Grande,Sede Municipal,ALAGOAS,5321,6069,5904,5799,5144,4314,4098,4159,4736,5465,5763,6206,6201
36010,-371.912,-95.181,Oliven�a,Sede Municipal,ALAGOAS,5384,6180,5922,5972,5198,4341,3965,4086,4661,5507,5936,6502,6339
37142,-373.559,-91.593,Ouro Branco,Sede Municipal,ALAGOAS,5487,6221,6029,6022,5305,4404,4010,4216,4824,5745,6141,6511,6417
35271,-373.386,-96.725,Palestina,Sede Municipal,ALAGOAS,5341,6070,5901,5898,5190,4389,4012,4128,4669,5467,5758,6367,6241
36393,-366.324,-94.113,Palmeira dos �ndios,Sede Municipal,ALAGOAS,5384,6048,5875,5923,5216,4320,3928,4064,4744,5610,5961,6520,6397
35270,-374.407,-97.415,P�o de A��car,Sede Municipal,ALAGOAS,5447,6201,6071,5984,5326,4435,4130,4222,4848,5568,5863,6425,6287
36757,-379.991,-92.568,Pariconha,Sede Municipal,ALAGOAS,5524,6315,6115,5983,5364,4531,4025,4226,4850,5777,6086,6596,6418
36026,-355.523,-94.636,Paripueira,Sede Municipal,ALAGOAS,5546,6166,6148,6157,5252,4478,4165,4304,5007,5798,6096,6490,6494
37161,-354.882,-92.396,Passo de Camaragibe,Sede Municipal,ALAGOAS,5284,5968,5822,5933,5004,4318,3982,4082,4718,5423,5748,6201,6213
36396,-363.759,-93.705,Paulo Jacinto,Sede Municipal,ALAGOAS,5234,5922,5837,5813,5075,4220,3770,3908,4517,5398,5737,6348,6263
33196,-365.822,-102.879,Penedo,Sede Municipal,ALAGOAS,5338,6097,5947,5891,5045,4298,4042,4110,4722,5442,5861,6297,6312
32868,-364.343,-104.064,Pia�abu�u,Sede Municipal,ALAGOAS,5441,6151,6169,6059,5039,4366,4106,4158,4855,5535,6017,6358,6473
35651,-359.546,-96.018,Pilar,Sede Municipal,ALAGOAS,5307,5977,5918,5877,5097,4313,3984,4102,4705,5494,5760,6238,6220
36019,-362.921,-94.743,Pindoba,Sede Municipal,ALAGOAS,5143,5814,5734,5748,5014,4166,3751,3885,4431,5283,5623,6158,6113
35633,-377.598,-96.089,Piranhas,Sede Municipal,ALAGOAS,5469,6312,6059,5965,5324,4470,4066,4198,4834,5658,5958,6426,6357
36765,-372.848,-93.049,Po�o das Trincheiras,Sede Municipal,ALAGOAS,5455,6174,5955,6005,5302,4397,3956,4176,4735,5754,6084,6553,6367
37540,-353.989,-90.524,Porto Calvo,Sede Municipal,ALAGOAS,5350,5957,5917,6044,5055,4356,4085,4128,4857,5478,5837,6240,6240
37162,-353.052,-91.605,Porto de Pedras,Sede Municipal,ALAGOAS,5418,6024,5985,6118,5133,4399,4138,4201,4948,5587,5928,6292,6267
33523,-368.379,-101.853,Porto Real do Col�gio,Sede Municipal,ALAGOAS,5434,6333,6118,5996,5239,4349,4101,4151,4716,5538,5903,6349,6408
36773,-364.695,-93.204,Quebrangulo,Sede Municipal,ALAGOAS,5273,5955,5861,5834,5181,4246,3754,3908,4536,5438,5828,6433,6301
36023,-358.397,-94.783,Rio Largo,Sede Municipal,ALAGOAS,5243,5897,5869,5826,5028,4216,3955,4055,4639,5399,5694,6186,6151
34922,-359.785,-98.355,Roteiro,Sede Municipal,ALAGOAS,5398,6125,6105,6021,5137,4364,3993,4159,4768,5496,5906,6322,6382
35652,-358.235,-96.041,Santa Luzia do Norte,Sede Municipal,ALAGOAS,5360,6047,6015,5950,5087,4306,4008,4137,4761,5515,5875,6307,6310
36387,-372.483,-93.704,Santana do Ipanema,Sede Municipal,ALAGOAS,5462,6206,5996,6061,5305,4413,4011,4134,4760,5616,6052,6567,6422
37153,-362.209,-91.705,Santana do Munda�,Sede Municipal,ALAGOAS,5130,5843,5724,5696,5092,4165,3687,3790,4361,5270,5600,6164,6165
33854,-369.019,-101.215,S�o Br�s,Sede Municipal,ALAGOAS,5399,6221,6007,5932,5205,4363,4123,4185,4773,5552,5852,6291,6284
37912,-360.518,-90.132,S�o Jos� da Laje,Sede Municipal,ALAGOAS,5080,5718,5630,5634,5020,4168,3723,3798,4434,5267,5498,6073,5993
35637,-373.834,-95.581,S�o Jos� da Tapera,Sede Municipal,ALAGOAS,5405,6159,5971,5949,5272,4358,4012,4163,4737,5538,5919,6483,6298
36782,-355.608,-93.186,S�o Lu�s do Quitunde,Sede Municipal,ALAGOAS,5330,5987,5922,5988,5115,4336,4080,4107,4796,5469,5737,6190,6232
34921,-360.974,-97.834,S�o Miguel dos Campos,Sede Municipal,ALAGOAS,5319,6011,5976,5945,5026,4323,3963,4050,4611,5438,5844,6326,6311
36784,-353.765,-92.654,S�o Miguel dos Milagres,Sede Municipal,ALAGOAS,5595,6273,6118,6238,5333,4511,4196,4346,5092,5819,6133,6525,6557
34553,-365.501,-99.319,S�o Sebasti�o,Sede Municipal,ALAGOAS,5258,6023,5811,5804,5061,4293,3991,3969,4642,5368,5711,6221,6205
35652,-35.823,-95.695,Satuba,Sede Municipal,ALAGOAS,5360,6047,6015,5950,5087,4306,4008,4137,4761,5515,5875,6307,6310
36007,-374.579,-94.703,Senador Rui Palmeira,Sede Municipal,ALAGOAS,5423,6168,6003,5943,5255,4380,4013,4145,4775,5613,5954,6485,6343
36017,-364.334,-95.348,Tanque d'Arca,Sede Municipal,ALAGOAS,5285,5992,5840,5816,5108,4247,3840,3941,4591,5464,5826,6426,6329
35646,-364.931,-96.457,Taquarana,Sede Municipal,ALAGOAS,5247,5989,5835,5777,5115,4198,3834,3925,4551,5377,5718,6331,6314
34555,-36.358,-99.094,Teot�nio Vilela,Sede Municipal,ALAGOAS,5230,5961,5808,5811,5038,4282,3930,3989,4581,5314,5664,6196,6185
34198,-370.025,-99.628,Traipu,Sede Municipal,ALAGOAS,5463,6289,6051,5999,5276,4383,4141,4214,4867,5694,5930,6379,6328
37155,-360.226,-91.596,Uni�o dos Palmares,Sede Municipal,ALAGOAS,5171,5781,5755,5725,5079,4217,3814,3893,4505,5392,5643,6139,6108
36397,-362.423,-93.719,Vi�osa,Sede Municipal,ALAGOAS,5193,5856,5820,5789,5092,4190,3771,3916,4479,5325,5668,6227,6183
